run,size,generator,sort,time,comparisons,pointer_changes
2,32768,Almost Sorted,Merge Sort,0.027000,424688,522992
3,1024,Random,Insertion Sort,0.010000,266563,3039
3,1024,Random,Merge Sort,0.001000,8957,12029
3,1024,Sorted,Insertion Sort,0.006000,523776,0
3,1024,Sorted,Merge Sort,0.001000,5120,8192
3,1024,Reverse,Insertion Sort,0.006000,1023,3069
3,1024,Reverse,Merge Sort,0.001000,5120,8192
3,1024,Almost Sorted,Insertion Sort,0.011000,478223,3006
3,1024,Almost Sorted,Merge Sort,0.001000,7880,10952
3,2048,Random,Insertion Sort,0.043000,1084446,6072
3,2048,Random,Merge Sort,0.001000,19867,26011
3,2048,Sorted,Insertion Sort,0.026000,2096128,0
3,2048,Sorted,Merge Sort,0.001000,11264,17408
3,2048,Reverse,Insertion Sort,0.024000,2047,6141
3,2048,Reverse,Merge Sort,0.001000,11264,17408
3,2048,Almost Sorted,Insertion Sort,0.048000,1855356,6102
3,2048,Almost Sorted,Merge Sort,0.001000,18573,24717
3,4096,Random,Insertion Sort,0.182000,4211016,12135
3,4096,Random,Merge Sort,0.003000,43974,56262
3,4096,Sorted,Insertion Sort,0.119000,8386560,0
3,4096,Sorted,Merge Sort,0.002000,24576,36864
3,4096,Reverse,Insertion Sort,0.100000,4095,12285
3,4096,Reverse,Merge Sort,0.002000,24576,36864
3,4096,Almost Sorted,Insertion Sort,0.195000,7498176,12237
3,4096,Almost Sorted,Merge Sort,0.002000,40061,52349
3,8192,Random,Insertion Sort,0.925000,16890688,24318
3,8192,Random,Merge Sort,0.006000,95989,120565
3,8192,Sorted,Insertion Sort,0.427000,33550336,0
3,8192,Sorted,Merge Sort,0.008000,53248,77824
3,8192,Reverse,Insertion Sort,0.419000,8191,24573
3,8192,Reverse,Merge Sort,0.004000,53248,77824
3,8192,Almost Sorted,Insertion Sort,0.821000,31464824,24507
3,8192,Almost Sorted,Merge Sort,0.006000,89852,114428
3,16384,Random,Insertion Sort,5.143000,67830859,48690
3,16384,Random,Merge Sort,0.015000,208340,257492
3,16384,Sorted,Insertion Sort,2.160000,134209536,0
3,16384,Sorted,Merge Sort,0.009000,114688,163840
3,16384,Reverse,Insertion Sort,2.068000,16383,49149
3,16384,Reverse,Merge Sort,0.009000,114688,163840
3,16384,Almost Sorted,Insertion Sort,4.796000,120055661,49131
3,16384,Almost Sorted,Merge Sort,0.008000,193078,242230
3,32768,Random,Insertion Sort,32.977000,270956444,97293
3,32768,Random,Merge Sort,0.031000,449027,547331
3,32768,Sorted,Insertion Sort,8.356000,536854528,0
3,32768,Sorted,Merge Sort,0.018000,245760,344064
3,32768,Reverse,Insertion Sort,8.160000,32767,98301
3,32768,Reverse,Merge Sort,0.018000,245760,344064
3,32768,Almost Sorted,Insertion Sort,20.880000,474819718,98262
3,32768,Almost Sorted,Merge Sort,0.027000,425935,524239
4,1024,Random,Insertion Sort,0.009000,267193,3021
4,1024,Random,Merge Sort,0.000000,8930,12002
4,1024,Sorted,Insertion Sort,0.007000,523776,0
4,1024,Sorted,Merge Sort,0.000000,5120,8192
4,1024,Reverse,Insertion Sort,0.006000,1023,3069
4,1024,Reverse,Merge Sort,0.001000,5120,8192
4,1024,Almost Sorted,Insertion Sort,0.012000,494997,3054
4,1024,Almost Sorted,Merge Sort,0.001000,8092,11164
4,2048,Random,Insertion Sort,0.043000,1038757,6057
4,2048,Random,Merge Sort,0.002000,19914,26058
4,2048,Sorted,Insertion Sort,0.025000,2096128,0
4,2048,Sorted,Merge Sort,0.001000,11264,17408
4,2048,Reverse,Insertion Sort,0.024000,2047,6141
